PassengerId,Survived
1,0
2,1
3,0
4,1
5,1
6,0
7,0
8,0
9,0
10,1
11,0
12,1
13,1
14,0
15,1
16,1
17,0
18,0
19,0
20,1
21,0
22,0
23,1
24,0
25,0
26,0
27,1
28,0
29,1
30,1
31,1
32,1
33,1
34,0
35,0
36,0
37,1
38,1
39,0
40,1
41,0
42,1
43,1
44,1
45,1
46,1
47,0
48,1
49,0
50,0
51,0
52,1
53,1
54,1
55,1
56,0
57,1
58,1
59,1
60,0
61,0
62,1
63,0
64,0
65,1
66,0
67,1
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,0
85,1
86,0
87,0
88,1
89,1
90,1
91,1
92,1
93,0
94,0
95,1
96,1
97,1
98,1
99,1
100,0
101,0
102,1
103,0
104,1
105,0
106,1
107,1
108,1
109,1
110,1
111,0
112,1
113,1
114,0
115,1
116,1
117,0
118,0
119,1
120,0
121,0
122,1
123,0
124,1
125,0
126,0
127,0
128,1
129,1
130,1
131,1
132,1
133,0
134,1
135,0
136,1
137,1
138,1
139,1
140,1
141,1
142,0
143,0
144,0
145,0
146,0
147,1
148,0
149,0
150,0
151,0
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,0
161,1
162,1
163,1
164,1
165,0
166,1
167,1
168,0
169,0
170,1
171,0
172,0
173,0
174,1
175,1
176,0
177,0
178,1
179,0
180,0
181,0
182,1
183,0
184,1
185,1
186,0
187,1
188,0
189,0
190,1
191,1
192,0
193,0
194,1
195,1
196,1
197,0
198,1
199,1
200,1
201,1
202,0
203,1
204,1
205,1
206,1
207,0
208,1
209,1
210,1
211,1
212,1
213,1
214,0
215,0
216,1
217,0
218,0
219,1
220,0
221,1
222,0
223,1
224,1
225,1
226,1
227,0
228,1
229,0
230,0
231,1
232,1
233,0
234,0
235,0
236,0
237,0
238,1
239,0
240,0
241,1
242,1
243,0
244,1
245,1
246,0
247,0
248,1
249,0
250,0
251,1
252,0
253,0
254,0
255,0
256,1
257,1
258,1
259,1
260,1
261,0
262,0
263,0
264,0
265,1
266,0
267,0
268,0
269,1
270,1
271,0
272,0
273,1
274,1
275,1
276,1
277,0
278,0
279,0
280,0
281,0
282,1
283,1
284,1
285,0
286,1
287,1
288,1
289,0
290,1
291,1
292,1
293,1
294,0
295,1
296,1
297,0
298,1
299,0
300,1
301,1
302,0
303,0
304,1
305,1
306,1
307,1
308,1
309,0
310,1
311,1
312,1
313,1
314,1
315,0
316,0
317,1
318,0
319,1
320,1
321,1
322,1
323,1
324,1
325,0
326,1
327,1
328,1
329,0
330,1
331,1
332,0
333,0
334,0
335,1
336,1
337,0
338,1
339,1
340,0
341,1
342,1
343,0
344,0
345,0
346,1
347,1
348,0
349,1
350,1
351,1
352,0
353,0
354,0
355,1
356,1
357,1
358,1
359,1
360,1
361,0
362,0
363,1
364,1
365,0
366,1
367,1
368,1
369,1
370,1
371,1
372,0
373,1
374,1
375,0
376,1
377,0
378,1
379,0
380,1
381,1
382,1
383,1
384,1
385,1
386,0
387,0
388,1
389,0
390,1
391,1
392,1
393,0
394,1
395,0
396,1
397,0
398,0
399,0
400,1
401,1
402,1
403,0
404,0
405,1
406,0
407,1
408,1
409,1
410,0
411,1
412,0
413,1
414,0
415,1
416,0
417,1
418,1
